Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,Thita,RF,Vmin,Vmax,Equation
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6,NOx,4.742321440117320E-01,5.621746461823470E+00,3.405777631690800E-01,8.376288182221080E-02,-1.515826702917250E-03,-1.191086695181980E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Diesel <1.4 l,PC Euro 5 - EC 715/2007,5,NOx,9.459517268034710E-01,4.264271807151270E-03,-1.138146721526560E-02,-5.150463096119010E-05,6.671360171030760E-05,1.923608149372220E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,NOx,9.459517268034710E-01,4.264271807151270E-03,-1.138146721526560E-02,-5.150463096119010E-05,6.671360171030760E-05,1.923608149372220E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 5 - EC 715/2007,5,NOx,9.459517268034710E-01,4.264271807151270E-03,-1.138146721526560E-02,-5.150463096119010E-05,6.671360171030760E-05,1.923608149372220E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6,NOx,4.358787392163990E-01,1.004345820980900E-02,-5.386789171147010E-03,-1.023612280214390E-04,2.904663713985040E-05,-4.607044137967740E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,NOx,4.358787392163990E-01,1.004345820980900E-02,-5.386789171147010E-03,-1.023612280214390E-04,2.904663713985040E-05,-4.607044137967740E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6,NOx,4.358787392163990E-01,1.004345820980900E-02,-5.386789171147010E-03,-1.023612280214390E-04,2.904663713985040E-05,-4.607044137967740E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
